Date,Close,High,Low,Open,Volume,Foreign_Net,Trust_Net,F_Consec,T_Consec
2026-01-02,1579.8455810546875,1579.8455810546875,1539.9756610280708,1549.943141034725,37512761,-3036217,712435,0,1
2026-01-05,1664.569091796875,1689.48779077587,1619.7154336346837,1624.699173430483,66871820,-3522824,3436638,0,2
2026-01-06,1699.455322265625,1699.455322265625,1639.6504428897085,1639.6504428897085,46751692,-8126762,956707,0,3
2026-01-07,1669.5528564453125,1679.5203361852846,1659.5853767053404,1659.5853767053404,49857449,-26411438,943945,0,4
2026-01-08,1679.5203857421875,1694.471605793305,1649.6179456399527,1654.6016856569918,29215618,-4376084,566782,0,5
2026-01-09,1674.53662109375,1694.4715808686756,1649.6179213750931,1659.585401262556,37387656,-10781928,-333398,0,0
2026-01-12,1684.5040283203125,1699.4552475065875,1684.5040283203125,1694.4715077778292,29987449,-10067382,19943,0,1
2026-01-13,1704.4390869140625,1714.4065669544957,1694.4716068736295,1714.4065669544957,30171800,-2964833,-135174,0,0
2026-01-14,1704.4390869140625,1709.422826934279,1694.4716068736295,1699.455346893846,29100816,-4902881,1058165,0,1
2026-01-15,1684.5040283203125,1694.4715077778292,1674.536548862796,1679.5202885915542,36391886,-9178378,1281126,0,2
2026-01-16,1734.3414306640625,1744.3089101506375,1704.4389922043372,1729.357690920775,53551629,8972644,208220,1,3
2026-01-19,1754.2763671875,1774.2113259055398,1719.3901894309304,1719.3901894309304,29580038,-9837846,-1063639,0,0
2026-01-20,1769.2276611328125,1769.2276611328125,1734.3414818992078,1734.3414818992078,29401234,-6228300,-22024,0,0
2026-01-21,1734.3414306640625,1759.2601293805,1734.3414306640625,1739.32517040735,45192749,-18211755,-3632892,0,0
2026-01-22,1754.2763671875,1764.2438465465198,1744.30888782848,1759.2601068670099,32069478,-4039767,420754,0,1
2026-01-23,1764.243896484375,1769.2276363049523,1744.3089372020656,1764.243896484375,27601167,-4687757,3364039,0,2
2026-01-26,1749.292724609375,1779.1951643462874,1749.292724609375,1759.2602045216793,22960198,-3984543,-398744,0,0
2026-01-27,1774.21142578125,1779.1951657413097,1749.2927259809514,1754.2764659410113,28985200,6984855,-284920,1,0
2026-01-28,1814.081298828125,1814.081298828125,1784.1788598364526,1784.1788598364526,29301156,8099283,663992,2,1
2026-01-29,1799.130126953125,1829.0325667362793,1794.146386989266,1824.0488267724202,32224002,-8349508,15131,0,2
2026-01-30,1769.2276611328125,1794.1463605853874,1769.2276611328125,1784.1788808043575,40825139,-13834712,450218,0,3
2026-02-02,1759.2601318359375,1759.2601318359375,1739.3251728349637,1744.308912585207,28251381,-9659323,2045378,0,4
2026-02-03,1794.1463623046875,1804.113842095269,1779.195142618815,1804.113842095269,26744162,-2935116,1082545,0,5
2026-02-04,1779.195068359375,1799.1300271084997,1769.2275889848127,1779.195068359375,26952301,-9216872,840321,0,6
2026-02-05,1759.2601318359375,1774.2113510866677,1754.276392085694,1759.2601318359375,26299986,-10205675,1235907,0,7
2026-02-06,1774.21142578125,1774.21142578125,1734.3415061007724,1739.3252460608321,33263592,-7646330,962315,0,8
2026-02-09,1809.0975341796875,1829.0324932340093,1809.0975341796875,1824.0487534704287,36529289,2925881,267241,1,9
2026-02-10,1873.88623046875,1873.88623046875,1834.0163106715427,1839.0000506461936,41859169,12202638,240642,2,10
2026-02-11,1908.7723388671875,1918.7398184435174,1868.9024205618675,1873.8861603500327,40488310,-3683705,1140830,0,11
2026-02-23,1893.8211669921875,1928.7073463841489,1893.8211669921875,1893.8211669921875,69816209,-15650670,2321667,0,12
2026-02-24,1958.6097412109375,1968.5772208099752,1908.7723432157482,1908.7723432157482,40961679,8068948,1486119,1,13
2026-02-25,2008.4471435546875,2018.4146231753064,1988.51218431345,1988.51218431345,40832607,-3322125,2743762,0,14
2026-02-26,1988.51220703125,2003.4634266329888,1988.51220703125,1993.4959468984962,58561388,-16872654,1201636,0,15
2026-03-02,1968.5772705078125,1988.5122302091575,1933.691091030459,1933.691091030459,48884884,-19024757,2623969,0,16
2026-03-03,1928.707275390625,1973.5609329578488,1928.707275390625,1963.5934534984658,43090471,-20298772,1278971,0,17
2026-03-04,1858.9349365234375,1903.7885945092576,1858.9349365234375,1888.837375180651,68160943,-26555282,1466715,0,18
2026-03-05,1893.8211669921875,1953.6260459498355,1888.8374270790503,1933.6910862972861,48120463,-9637956,1493516,0,19
2026-03-06,1883.8536376953125,1893.821117259838,1873.8861581307872,1873.8861581307872,30082724,-10060776,946000,0,20
2026-03-09,1804.11376953125,1804.11376953125,1764.2438519725483,1769.2275916673862,76459172,-39463750,2661429,0,21
2026-03-10,1843.9837646484375,1883.8536838840794,1824.0488050306167,1863.9187242662586,41375691,-1229168,522459,0,22
2026-03-11,1933.6910400390625,1943.6585196268927,1868.902422718166,1878.8699023059962,36167313,5797127,-36400,1,0
2026-03-12,1878.869873046875,1908.7723113447032,1878.869873046875,1893.821092195789,34040589,-18789709,282821,0,1
2026-03-13,1858.9349365234375,1878.8698956282465,1834.0162376424262,1834.0162376424262,31214304,-13096393,-133279,0,0
2026-03-16,1839.0,1873.8861788617885,1839.0,1868.90243902439,31249086,-15513696,-801831,0,0
2026-03-17,1870.0,1880.0,1860.0,1875.0,23812211,674937,-492057,1,0
2026-03-18,1905.0,1910.0,1890.0,1900.0,23068156,1094756,-144429,2,0
2026-03-19,1850.0,1880.0,1850.0,1875.0,31040569,-22338914,-99637,0,0
2026-03-20,1840.0,1870.0,1840.0,1860.0,46312322,-6804981,-4028408,0,0
2026-03-23,1810.0,1815.0,1785.0,1790.0,34902948,-14581510,1860884,0,1
2026-03-24,1810.0,1850.0,1800.0,1850.0,27001025,-4735969,691001,0,2
2026-03-25,1845.0,1875.0,1845.0,1865.0,40964040,1679157,265301,1,3
2026-03-26,1840.0,1865.0,1840.0,1850.0,20958470,-5047716,547600,0,4
2026-03-27,1820.0,1825.0,1800.0,1805.0,28974140,-10423797,381460,0,5
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,-16398403,557769,0,6
2026-03-31,1760.0,1790.0,1760.0,1775.0,49221091,-17705807,1420700,0,7
2026-04-01,1855.0,1855.0,1830.0,1840.0,35537379,8644073,633380,1,8
2026-04-02,1810.0,1865.0,1805.0,1865.0,25132417,-9249574,-192771,0,0
2026-04-07,1860.0,1860.0,1835.0,1850.0,17953562,5971798,420851,1,1
2026-04-08,1950.0,1950.0,1925.0,1935.0,46515921,20104716,451659,2,2
2026-04-09,1955.0,1955.0,1930.0,1945.0,31835073,224469,-103635,3,0
2026-04-10,2000.0,2000.0,1970.0,1975.0,28637625,8534625,-175389,4,0
2026-04-13,1990.0,1995.0,1975.0,1985.0,28968757,-1222094,-4823390,0,0
2026-04-14,2055.0,2055.0,2010.0,2015.0,39113405,19608150,615130,1,1
2026-04-15,2080.0,2100.0,2060.0,2065.0,40343568,5069709,-138422,2,0
2026-04-16,2085.0,2090.0,2055.0,2080.0,32038524,-1305961,306139,0,1
2026-04-17,2030.0,2060.0,2030.0,2055.0,39260244,-9652631,-2185663,0,0
2026-04-20,2025.0,2055.0,2025.0,2030.0,25407621,-3102934,660504,0,1
2026-04-21,2050.0,2075.0,2045.0,2050.0,25783476,2132940,696158,1,2
2026-04-22,2050.0,2070.0,2040.0,2045.0,24762881,-2458339,-741909,0,0
