date,close,high,low,open,volume,foreign_net,trust_net,f_consec,t_consec,ma20,ma60,rsi,bias,atr,atr_pct,score,entry_ok,exit_ok
2026-01-02,1579.8455810546875,1579.8455810546875,1539.9756610280708,1549.943141034725,37512761,-3036217,712435,0,1,1579.8455810546875,1579.8455810546875,50.0,0.0,39.86992002661668,2.5236593059936885,30,False,True
2026-01-05,1664.569091796875,1689.48779077587,1619.7154336346837,1624.699173430483,66871820,-3522824,3436638,0,2,1622.2073364257812,1622.2073364257812,50.0,2.6113650468644565,74.75606487389962,4.4910160378624875,30,False,True
2026-01-06,1699.455322265625,1699.455322265625,1639.6504428897085,1639.6504428897085,46751692,-8126762,956707,0,3,1647.9566650390625,1647.9566650390625,50.0,3.1250006944413067,69.7723363745719,4.105570500173848,35,False,True
2026-01-07,1669.5528564453125,1679.5203361852846,1659.5853767053404,1659.5853767053404,49857449,-26411438,943945,0,4,1653.355712890625,1653.355712890625,79.99998367085672,0.9796526802069359,62.29673867100007,3.7313427023591,30,False,True
2026-01-08,1679.5203857421875,1694.471605793305,1649.6179456399527,1654.6016856569918,29215618,-4376084,566782,0,5,1658.5886474609374,1658.5886474609374,81.24999043214554,1.262021075164936,58.80812296747049,3.501483129749742,30,False,True
2026-01-09,1674.53662109375,1694.4715808686756,1649.6179213750931,1659.585401262556,37387656,-10781928,-333398,0,0,1661.2466430664062,1661.2466430664062,78.7878585451482,0.800000293924597,56.48237905515581,3.3730154565543904,20,False,True
2026-01-12,1684.5040283203125,1699.4552475065875,1684.5040283203125,1694.4715077778292,29987449,-10067382,19943,0,1,1664.569126674107,1664.569126674107,79.99997200718296,1.1976013087564785,51.973271534824626,3.085375318849744,20,False,True
2026-01-13,1704.4390869140625,1714.4065669544957,1694.4716068736295,1714.4065669544957,30171800,-2964833,-135174,0,0,1669.5528717041016,1669.5528717041016,82.05126594759855,2.0895543831656442,49.21442992224445,2.887426737634176,20,False,True
2026-01-14,1704.4390869140625,1709.422826934279,1694.4716068736295,1699.455346893846,29100816,-4902881,1058165,0,1,1673.4291178385417,1673.4291178385417,82.05126594759855,1.85307932944147,45.40740660428946,2.664067431503282,20,False,True
2026-01-15,1684.5040283203125,1694.4715077778292,1674.536548862796,1679.5202885915542,36391886,-9178378,1281126,0,2,1674.5366088867188,1674.5366088867188,74.41855961138194,0.5952344893922825,43.85691974898716,2.603550897573019,20,False,True
2026-01-16,1734.3414306640625,1744.3089101506375,1704.4389922043372,1729.357690920775,53551629,8972644,208220,1,3,1679.9734108664773,1679.9734108664773,79.24524290815049,3.2362428741978686,45.30673448365424,2.6123307488714453,35,False,True
2026-01-19,1754.2763671875,1774.2113259055398,1719.3901894309304,1719.3901894309304,29580038,-9837846,-1063639,0,0,1686.1653238932292,1686.1653238932292,80.7017144300982,4.039404815715666,46.09960131623384,2.6278414381276693,15,False,True
2026-01-20,1769.2276611328125,1769.2276611328125,1734.3414818992078,1734.3414818992078,29401234,-6228300,-22024,0,0,1692.5547344501201,1692.5547344501201,81.66663264764595,4.530011651741472,45.237030386800825,2.556880122360068,15,False,True
2026-01-21,1734.3414306640625,1759.2601293805,1734.3414306640625,1739.32517040735,45192749,-18211755,-3632892,0,0,1695.5394984654017,1695.5394984654017,73.13429343737181,2.2884711464274123,44.49768753551148,2.565682094008084,20,False,True
2026-01-22,1754.2763671875,1764.2438465465198,1744.30888782848,1759.2601068670099,32069478,-4039767,420754,0,1,1699.4552897135416,1699.4552897135416,74.64785136811093,3.225802867882392,43.78572295378581,2.495942131625713,15,False,True
2026-01-23,1764.243896484375,1769.2276363049523,1744.3089372020656,1764.243896484375,27601167,-4687757,3364039,0,2,1703.5045776367188,1703.5045776367188,67.8571178635912,3.565550668018764,37.73404362390753,2.1388223985980908,25,False,True
2026-01-26,1749.292724609375,1779.1951643462874,1749.292724609375,1759.2602045216793,22960198,-3984543,-398744,0,0,1706.197998046875,1706.197998046875,59.61537374540508,2.5257752389717694,35.59815507826438,2.0350027515385456,30,False,True
2026-01-27,1774.21142578125,1779.1951657413097,1749.2927259809514,1754.2764659410113,28985200,6984855,-284920,1,0,1709.9765218098958,1709.9765218098958,70.5882183434678,3.756478709038993,34.886190476239385,1.9662927410625666,25,False,True
2026-01-28,1814.081298828125,1814.081298828125,1784.1788598364526,1784.1788598364526,29301156,8099283,663992,2,1,1715.455720600329,1715.455720600329,73.6841833864818,5.749234855988106,34.530205682919586,1.903454145369653,30,False,True
2026-01-29,1799.130126953125,1829.0325667362793,1794.146386989266,1824.0488267724202,32224002,-8349508,15131,0,2,1719.6394409179688,1719.6394409179688,71.18643364156657,4.622520520506488,33.818242843878934,1.879699658031464,15,False,True
2026-01-30,1769.2276611328125,1794.1463605853874,1769.2276611328125,1784.1788808043575,40825139,-13834712,450218,0,3,1729.108544921875,1722.0007847377233,63.492062874938284,2.3202196489492373,34.174231372984295,1.931590383970314,40,False,False
2026-02-02,1759.2601318359375,1759.2601318359375,1739.3251728349637,1744.308912585207,28251381,-9659323,2045378,0,4,1733.8430969238282,1723.6943914240057,59.01637303668915,1.4659362751568494,34.17422777753183,1.942534089138263,40,False,False
2026-02-03,1794.1463623046875,1804.113842095269,1779.195142618815,1804.113842095269,26744162,-2935116,1082545,0,5,1738.5776489257812,1726.757520592731,63.23527928582131,3.1962169428118816,36.31011993458055,2.0238103589240093,35,False,True
2026-02-04,1779.195068359375,1799.1300271084997,1769.2275889848127,1779.195068359375,26952301,-9216872,840321,0,6,1744.0597595214845,1728.942418416341,64.17909356484634,2.0145702374057737,36.310112796896306,2.0408168526668895,40,False,False
2026-02-05,1759.2601318359375,1774.2113510866677,1754.276392085694,1759.2601318359375,26299986,-10205675,1235907,0,7,1748.0467468261718,1730.155126953125,54.09835868096992,0.6414808431253464,33.81824097142174,1.9222990596694491,40,False,False
2026-02-06,1774.21142578125,1774.21142578125,1734.3415061007724,1739.3252460608321,33263592,-7646330,962315,0,8,1753.0304870605469,1731.849599984976,53.33334694094162,1.2082470257673033,32.75029691469803,1.8459072260949332,40,False,False
2026-02-09,1809.0975341796875,1829.0324932340093,1809.0975341796875,1824.0487534704287,36529289,2925881,267241,1,9,1759.2601623535156,1734.71063458478,56.249990432145545,2.8328596811684794,34.174217501780504,1.8890201802898576,50,False,False
2026-02-10,1873.88623046875,1873.88623046875,1834.0163106715427,1839.0000506461936,41859169,12202638,240642,2,10,1767.73251953125,1739.681191580636,70.0000034991009,6.0050776780216,36.31010791751711,1.9376900970361572,35,False,True
2026-02-11,1908.7723388671875,1918.7398184435174,1868.9024205618675,1873.8861603500327,40488310,-3683705,1140830,0,11,1777.9491821289062,1745.5119207974137,71.23287579306775,7.358093136364811,37.734035203173725,1.9768745824118559,20,False,True
2026-02-23,1893.8211669921875,1928.7073463841489,1893.8211669921875,1893.8211669921875,69816209,-15650670,2321667,0,12,1788.4150390625,1750.4555623372396,67.56757204048878,5.893829207841048,38.44599808096478,2.0300754237542735,35,False,True
2026-02-24,1958.6097412109375,1968.5772208099752,1908.7723432157482,1908.7723432157482,40961679,8068948,1486119,1,13,1799.6284545898438,1757.1702132686491,74.99999271020347,8.834117187668458,41.64982765817016,2.12649956659664,30,False,True
2026-02-25,2008.4471435546875,2018.4146231753064,1988.51218431345,1988.51218431345,40832607,-3322125,2743762,0,14,1812.3369934082032,1765.022617340088,76.40448757907136,10.820843521915204,43.785716289058314,2.1800780981252688,15,False,True
2026-02-26,1988.51220703125,2003.4634266329888,1988.51220703125,1993.4959468984962,58561388,-16872654,1201636,0,15,1823.301220703125,1771.795029148911,70.58823529411765,9.06109119284274,42.36179225166992,2.130325984516533,20,False,True
2026-03-02,1968.5772705078125,1988.5122302091575,1933.691091030459,1933.691091030459,48884884,-19024757,2623969,0,16,1835.0130126953125,1777.582742130055,69.76743788636341,7.278654532063375,43.78571792536172,2.2242316103785345,30,False,True
2026-03-03,1928.707275390625,1973.5609329578488,1928.707275390625,1963.5934534984658,43090471,-20298772,1278971,0,17,1843.7345581054688,1781.9005859375,68.18180679527906,4.6087283503797885,44.85366019299824,2.325581531490513,35,False,True
2026-03-04,1858.9349365234375,1903.7885945092576,1858.9349365234375,1888.837375180651,68160943,-26555282,1466715,0,18,1848.4691101074218,1784.0404290093315,60.0,0.5661888726616322,47.701506662236724,2.566066499963018,40,False,False
2026-03-05,1893.8211669921875,1953.6260459498355,1888.8374270790503,1933.6910862972861,48120463,-9637956,1493516,0,19,1855.6955322265626,1787.0074759818413,60.0,2.0545199416350233,51.26132088845576,2.7067667096503216,40,False,False
2026-03-06,1883.8536376953125,1893.821117259838,1873.8861581307872,1873.8861581307872,30082724,-10060776,946000,0,20,1861.1776428222656,1789.5560591848273,60.60606360498514,1.218368110131674,50.54936165543528,2.6832955938804703,40,False,False
2026-03-09,1804.11376953125,1804.11376953125,1764.2438519725483,1769.2275916673862,76459172,-39463750,2661429,0,21,1860.679266357422,1789.9293338090945,54.054051668496335,-3.040045527938192,57.31301233036978,3.1767959038005134,30,False,True
2026-03-10,1843.9837646484375,1883.8536838840794,1824.0488050306167,1863.9187242662586,41375691,-1229168,522459,0,22,1862.9219482421875,1791.280694580078,56.03448039225416,-1.0165849198147896,60.16086909268063,3.2625487407233504,40,False,True
2026-03-11,1933.6910400390625,1943.6585196268927,1868.902422718166,1878.8699023059962,36167313,5797127,-36400,1,0,1871.1451171875,1794.7541176400534,59.84251892573275,3.342654841521569,63.364703915944624,3.2768783949407245,35,False,True
2026-03-12,1878.869873046875,1908.7723113447032,1878.869873046875,1893.821092195789,34040589,-18789709,282821,0,1,1877.1256042480468,1796.7568737211682,50.39999216201122,0.0929223273541649,62.65273753759641,3.3345969530074697,30,False,True
2026-03-13,1858.9349365234375,1878.8698956282465,1834.0162376424262,1834.0162376424262,31214304,-13096393,-133279,0,0,1880.3650329589843,1798.202875181686,45.90163967339039,-1.1396774594252028,62.29675611646572,3.3512069138348934,25,False,True
2026-03-16,1839.0,1873.8861788617885,1839.0,1868.90243902439,31249086,-15513696,-801831,0,0,1883.3552795410155,1799.1300825639205,45.528453827461114,-2.3551201423782966,62.29675607859623,3.387534316400013,15,False,True
2026-03-17,1870.0,1880.0,1860.0,1875.0,23812211,674937,-492057,1,0,1888.8922729492188,1800.7049696180557,42.35083092355351,-1.0001773642560001,59.885609377325686,3.202439004135063,35,False,True
2026-03-18,1905.0,1910.0,1890.0,1900.0,23068156,1094756,-144429,2,0,1895.4317016601562,1802.9722528872283,40.835233649691034,0.5048083943865211,58.47097495129934,3.0693425171285744,40,False,False
2026-03-19,1850.0,1880.0,1850.0,1875.0,31040569,-22338914,-99637,0,0,1897.476824951172,1803.9728432513298,38.44651759884625,-2.502103020541168,60.975622342482374,3.2959795860801284,15,False,True
2026-03-20,1840.0,1870.0,1840.0,1860.0,46312322,-6804981,-4028408,0,0,1895.7825134277343,1804.723409016927,39.09445813080748,-2.9424532103566485,59.20268382971819,3.2175371646585975,15,False,True
2026-03-23,1810.0,1815.0,1785.0,1790.0,34902948,-14581510,1860884,0,1,1890.843896484375,1804.831094547194,39.76015739315688,-4.275545783271008,59.92742257491649,3.3109073245810214,15,False,True
2026-03-24,1810.0,1850.0,1800.0,1850.0,27001025,-4735969,691001,0,2,1886.6528381347657,1804.93447265625,45.201158114522904,-4.062901058710321,58.51511265583167,3.2328791522558937,15,False,True
2026-03-25,1845.0,1875.0,1845.0,1865.0,40964040,1679157,265301,1,3,1880.9723510742188,1805.7200712316176,45.213383086137156,-1.912433803382332,56.39431912537467,3.056602662621933,45,False,True
2026-03-26,1840.0,1865.0,1840.0,1850.0,20958470,-5047716,547600,0,4,1872.5499938964845,1806.3793006310095,45.65812599240952,-1.7382710209382986,56.75610420670322,3.084570880799088,35,False,True
2026-03-27,1820.0,1825.0,1800.0,1805.0,28974140,-10423797,381460,0,5,1864.1243835449218,1806.6362949587265,51.78389412545872,-2.367030007998309,51.06969094079149,2.806026974768763,30,False,True
2026-03-30,1780.0,1800.0,1780.0,1780.0,39889700,-16398403,557769,0,6,1854.6955200195312,1806.1430302372685,42.81724218167387,-4.0273737232483615,48.23112562987511,2.7096137994311857,25,False,True
2026-03-31,1760.0,1790.0,1760.0,1775.0,49221091,-17705807,1420700,0,7,1846.26015625,1805.3040660511363,26.883792594441047,-4.672156085803518,43.254357417128304,2.4576339441550172,20,False,True
2026-04-01,1855.0,1855.0,1830.0,1840.0,35537379,8644073,633380,1,8,1846.063409423828,1806.1914934430804,47.13012716309646,0.48408903673363807,46.124274060543485,2.486483776848705,45,False,False
2026-04-02,1810.0,1865.0,1805.0,1865.0,25132417,-9249574,-192771,0,0,1841.8723510742188,1806.2583093475878,44.45100257769703,-1.7304321363872048,47.206155632984895,2.608074896849994,25,False,True
2026-04-07,1860.0,1860.0,1835.0,1850.0,17953562,5971798,420851,1,1,1840.679669189453,1807.1848902209051,52.22929936305732,1.049630260709875,48.285714285714285,2.596006144393241,40,False,False
2026-04-08,1950.0,1950.0,1925.0,1935.0,46515921,20104716,451659,2,2,1847.9739807128906,1809.6054853019068,57.54716981132075,5.520966223114839,51.785714285714285,2.6556776556776556,40,False,False
2026-04-09,1955.0,1955.0,1930.0,1945.0,31835073,224469,-103635,3,0,1853.5247924804687,1812.0287272135417,55.0,5.4747154141775844,50.714285714285715,2.594081110705152,65,False,False
2026-04-10,2000.0,2000.0,1970.0,1975.0,28637625,8534625,-175389,4,0,1856.8402404785156,1819.0313008626301,65.30612244897961,7.709858737474986,50.0,2.5,70,False,False
2026-04-13,1990.0,1995.0,1975.0,1985.0,28968757,-1222094,-4823390,0,0,1862.396746826172,1824.4551493326824,65.30612244897961,6.8515612149390215,49.642857142857146,2.4946159368269925,20,False,True
2026-04-14,2055.0,2055.0,2010.0,2015.0,39113405,19608150,615130,1,1,1872.2,1830.3808939615885,73.33333333333333,9.763914111740196,50.357142857142854,2.4504692387904066,20,False,True
2026-04-15,2080.0,2100.0,2060.0,2065.0,40343568,5069709,-138422,2,0,1884.25,1837.2216796875,74.54545454545455,10.388748839060634,50.0,2.403846153846154,20,False,True
2026-04-16,2085.0,2090.0,2055.0,2080.0,32038524,-1305961,306139,0,1,1895.0,1843.9796732584634,73.07692307692308,10.026385224274406,47.857142857142854,2.2953066118533743,5,False,True
2026-04-17,2030.0,2060.0,2030.0,2055.0,39260244,-9652631,-2185663,0,0,1901.25,1849.9040629069011,66.66666666666666,6.771860618014464,50.0,2.4630541871921183,20,False,True
2026-04-20,2025.0,2055.0,2025.0,2030.0,25407621,-3102934,660504,0,1,1910.0,1855.578995768229,68.46846846846847,6.020942408376963,49.285714285714285,2.4338624338624335,20,False,True
2026-04-21,2050.0,2075.0,2045.0,2050.0,25783476,2132940,696158,1,2,1920.5,1861.3383443196615,75.0,6.743035667794844,50.0,2.4390243902439024,20,False,True
2026-04-22,2050.0,2070.0,2040.0,2045.0,24762881,-2458339,-741909,0,0,1932.5,1867.0976928710938,77.88461538461539,6.0802069857697285,50.0,2.4390243902439024,10,False,True
